No,1st_component_atom_number,1st_component_element_fraction,2nd_component_atom_number,2nd_component_element_fraction,3rd_component_atom_number,3rd_component_element_fraction,Morphology,Phase,pH,Electrode,Overpotential_mV,Ref
56,28,0.445,13,0.406,26,0.149,1,1,13.6,2,327,38
57,28,0.5,25,0.5,0,0.0,1,1,13.6,1,420,39
58,28,0.75,25,0.25,0,0.0,1,1,13.6,1,350,39
59,28,0.767,23,0.127,26,0.106,1,1,13.6,2,192,40
60,28,0.83,26,0.17,0,0.0,1,0,13.6,1,245,41
61,28,0.95,58,0.05,0,0.0,5,0,13.6,6,271,42
62,28,0.678,26,0.315,78,0.007,1,1,13.6,1,230,43
63,28,0.75,23,0.25,0,0.0,2,1,13.6,1,218,44
64,28,0.75,27,0.25,0,0.0,2,1,13.6,1,347,44
65,28,0.75,23,0.25,0,0.0,2,1,13.6,2,300,44
66,28,0.615,22,0.385,0,0.0,1,0,13.6,1,320,45
67,15,0.6,27,0.2,25,0.2,6,0,13.6,4,288,46
68,25,1.0,0,0.0,0,0.0,6,0,13.6,4,408,46
69,15,0.75,27,0.25,0,0.0,0,0,13.6,4,322,46
70,27,0.4,26,0.3,23,0.3,5,0,13.6,1,307,47
71,27,0.6,26,0.4,0,0.0,4,0,13.6,3,283,48
72,26,0.67,27,0.33,0,0.0,5,0,13.6,1,314,49
73,27,0.67,30,0.33,0,0.0,2,0,13.6,1,324,50
74,27,0.67,28,0.33,0,0.0,2,0,13.6,1,338,50
75,27,0.67,3,0.33,0,0.0,2,0,13.6,1,340,51
76,27,0.375,26,0.368,74,0.257,5,4,13.6,1,223,52
77,27,0.375,26,0.368,74,0.257,5,4,13.6,6,191,52
78,27,0.5,26,0.5,0,0.0,2,1,13.6,2,232,53
79,28,0.5,26,0.5,0,0.0,2,3,13.6,1,280,54
80,27,1.0,0,0.0,0,0.0,2,0,13.6,1,300,55
81,28,0.75,26,0.25,0,0.0,5,0,13.6,3,230,56
82,27,1.0,0,0.0,0,0.0,6,0,13.6,1,293,57
83,26,0.409,28,0.364,27,0.227,6,0,13.6,6,400,58
84,34,0.666,28,0.167,26,0.167,5,0,13.6,3,280,59
85,27,0.667,24,0.333,0,0.0,1,1,13.0,1,340,60
86,27,0.667,25,0.333,0,0.0,2,1,13.6,1,324,61
87,27,0.741,26,0.259,0,0.0,0,1,13.0,1,350,62
88,27,0.54,26,0.46,0,0.0,6,0,13.0,1,390,63
